Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,P0_16,GPIO0_PIN16,FC4_TXD_SCL_MISO,CLKOUT,CT1_CAP0,,,EMC_CSN0,ENET_TXD0,,,,,,,,,ADC0_IN4
,P0_23,GPIO0_PIN23,MCLK,CT1_MAT2,CT3_MAT3,SCT0_OUT4,,SPIFI_CSN,,,,,,,,,,ADC0_IN11
,P0_24,GPIO0_PIN24,FC0_RXD_SDA_MOSI,SD_D0,CT2_CAP0,SCT0_GPI0,,SPIFI_IO0,,,,,,,,,,
,P0_25,GPIO0_PIN25,FC0_TXD_SCL_MISO,SD_D1,CT2_CAP1,SCT0_GPI1,,SPIFI_IO1,,,,,,,,,,
,P0_26,GPIO0_PIN26,FC2_RXD_SDA_MOSI,CLKOUT,CT3_CAP2,SCT0_OUT5,PDM0_CLK,SPIFI_CLK,USB0_IDVALUE,,,,,,,,,
,P0_27,GPIO0_PIN27,FC2_TXD_SCL_MISO,,CT3_MAT2,SCT0_OUT6,PDM0_DATA,SPIFI_IO3,,,,,,,,,,
,P0_28,GPIO0_PIN28,,,CT2_CAP3,SCT0_OUT7,TRACEDATA3,SPIFI_IO2,USB0_OVERCURRENTN,,,,,,,,,
,P0_31,GPIO0_PIN31,FC0_CTS_SDA_SSEL0,SD_D2,CT0_MAT1,SCT0_OUT3,TRACEDATA0,,,,,,,,,,,ADC0_IN5
,P0_4,GPIO0_PIN4,CAN0_RD,FC4_SCK,CT3_CAP0,SCT0_GPI4,,EMC_D2,ENET_MDC,,,,,ISP0,,,,
,P0_5,GPIO0_PIN5,CAN0_TD,FC4_RXD_SDA_MOSI,CT3_MAT0,SCT0_GPI5,,EMC_D3,ENET_MDIO,,,,,ISP1,,,,
,P0_6,GPIO0_PIN6,FC3_SCK,CT3_CAP1,CT4_MAT0,SCT0_GPI6,,EMC_D4,ENET_RX_DV,,,,,ISP2,,,,
,P1_0,GPIO1_PIN0,FC0_RTS_SCL_SSEL1,SD_D3,CT0_CAP2,SCT0_GPI4,TRACECLK,,,,,,,,,,,ADC0_IN6
,P1_1,GPIO1_PIN1,FC3_RXD_SDA_MOSI,,CT0_CAP3,SCT0_GPI5,,,USB1_OVERCURRENTN,,,,,,,,,
,P1_17,GPIO1_PIN17,ENET_MDIO,FC8_RXD_SDA_MOSI,,SCT0_OUT4,CAN1_TD,EMC_BLSN0,,,,,,,,,,
,P1_18,GPIO1_PIN18,,FC8_TXD_SCL_MISO,,SCT0_OUT5,CAN1_RD,EMC_BLSN1,,,,,,,,,,
,P1_22,GPIO1_PIN22,FC8_RTS_SCL_SSEL1,SD_CMD,CT2_MAT3,SCT0_GPI5,FC4_SSEL3,EMC_CKE1,,,,,,,,,,
,P2_0,GPIO2_PIN0,,FC0_RXD_SDA_MOSI,,CT1_CAP0,,,,,,,,,,,,ADC0_IN7
,P2_1,GPIO2_PIN1,,FC0_TXD_SCL_MISO,,CT1_MAT0,,,,,,,,,,,,ADC0_IN8
,P2_17,GPIO2_PIN17,LCD_CLKIN,USB1_LEDN,USB1_OVERCURRENTN,CT1_CAP1,FC8_RXD_SDA_MOSI,,,,,,,,,,,
,P2_18,GPIO2_PIN18,LCD_VD0,FC3_RXD_SDA_MOSI,FC7_SCK,CT3_MAT0,,,,,,,,,,,,
,P2_19,GPIO2_PIN19,LCD_VD1,FC3_TXD_SCL_MISO,FC7_RXD_SDA_MOSI_DATA,CT3_MAT1,,,,,,,,,,,,
,P2_2,GPIO2_PIN2,ENET_CRS,FC3_SSEL3,SCT0_OUT6,CT1_MAT1,,,,,,,,,,,,
,P2_20,GPIO2_PIN20,LCD_VD2,FC3_RTS_SCL_SSEL1,FC7_TXD_SCL_MISO_WS,CT3_MAT2,CT4_CAP0,,,,,,,,,,,
,P3_0,GPIO3_PIN0,LCD_VD14,PDM0_CLK,,CT1_MAT0,,,,,,,,,,,,
,P3_1,GPIO3_PIN1,LCD_VD15,PDM0_DATA,,CT1_MAT1,,,,,,,,,,,,
,P3_10,GPIO3_PIN10,SCT0_OUT3,,CT3_MAT0,,,EMC_DYCSN1,TRACEDATA0,,,,,,,,,
,P3_11,GPIO3_PIN11,MCLK,FC0_SCK,FC1_SCK,,,,TRACEDATA3,,,,,,,,,
,P3_12,GPIO3_PIN12,SCT0_OUT8,,CT3_CAP0,,CLKOUT,EMC_CLK1,TRACECLK,,,,,,,,,
,P3_14,GPIO3_PIN14,SCT0_OUT4,FC9_RTS_SCL_SSEL1,CT3_MAT1,,,,TRACEDATA2,,,,,,,,,
,P3_16,GPIO3_PIN16,FC8_RXD_SDA_MOSI,SD_D4,,,,,,,,,,,,,,
,P3_17,GPIO3_PIN17,FC8_TXD_SCL_MISO,SD_D5,,,,,,,,,,,,,,
,P3_18,GPIO3_PIN18,FC8_CTS_SDA_SSEL0,SD_D6,CT4_MAT0,CAN0_TD,SCT0_OUT5,,,,,,,,,,,
,P3_19,GPIO3_PIN19,FC8_RTS_SCL_SSEL1,SD_D7,CT4_MAT1,CAN0_RD,SCT0_OUT6,,,,,,,,,,,
,P3_2,GPIO3_PIN2,LCD_VD16,FC9_RXD_SDA_MOSI,,CT1_MAT2,,,,,,,,,,,,
,P3_20,GPIO3_PIN20,FC9_SCK,SD_CARD_INT_N,CLKOUT,,SCT0_OUT7,,,,,,,,,,,
,P3_21,GPIO3_PIN21,FC9_RXD_SDA_MOSI,SD_BACKEND_PWR,CT4_MAT3,UTICK_CAP2,,,,,,,,,,,,ADC0_IN9
,P3_22,GPIO3_PIN22,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,,ADC0_IN10
,P3_23,GPIO3_PIN23,FC2_CTS_SDA_SSEL0,,UTICK_CAP3,,,,,,,,,,,,,
,P3_24,GPIO3_PIN24,FC2_RTS_SCL_SSEL1,CT4_CAP0,USB0_VBUS,,,,,,,,,,,,,
,P3_26,GPIO3_PIN26,,SCT0_OUT0,FC4_RXD_SDA_MOSI,,,EMC_A15,,,,,,,,,,
,P3_27,GPIO3_PIN27,,SCT0_OUT1,FC4_TXD_SCL_MISO,,,EMC_A16,,,,,,,,,,
,P3_28,GPIO3_PIN28,,SCT0_OUT2,FC4_CTS_SDA_SSEL0,,,EMC_A17,,,,,,,,,,
,P3_29,GPIO3_PIN29,,SCT0_OUT3,FC4_RTS_SCL_SSEL1,,,EMC_A18,,,,,,,,,,
,P3_3,GPIO3_PIN3,LCD_VD17,FC9_TXD_SCL_MISO,,,,,,,,,,,,,,
,P3_30,GPIO3_PIN30,FC9_CTS_SDA_SSEL0,SCT0_OUT4,FC4_SSEL2,,,EMC_A19,,,,,,,,,,
,P4_1,GPIO4_PIN1,,FC6_SCK,,,SCT0_GPI2,EMC_CSN2,,,,,,,,,,
,P4_2,GPIO4_PIN2,,FC6_RXD_SDA_MOSI_DATA,,,SCT0_GPI3,EMC_CSN3,,,,,,,,,,
,P4_3,GPIO4_PIN3,,FC6_TXD_SCL_MISO_WS,CT0_CAP3,,SCT0_GPI4,EMC_DYCSN2,,,,,,,,,,
,P4_4,GPIO4_PIN4,,FC4_SSEL3,FC0_RTS_SCL_SSEL1,,SCT0_GPI5,EMC_DYCSN3,,,,,,,,,,
,P4_5,GPIO4_PIN5,,FC9_CTS_SDA_SSEL0,FC0_CTS_SDA_SSEL0,CT4_MAT3,SCT0_GPI6,EMC_CKE2,,,,,,,,,,
,P4_6,GPIO4_PIN6,,FC9_RTS_SCL_SSEL1,,,SCT0_GPI7,EMC_CKE3,,,,,,,,,,
,P4_7,GPIO4_PIN7,,CT4_CAP3,USB0_PORTPWRN,USB0_FRAME,SCT0_GPI0,,,,,,,,,,,
